country_key,country,iso3,g_whoregion,year,age_group,age_group_label,sex,sex_label,e_inc_num
afg,Afghanistan,AFG,Eastern Mediterranean,2024,0_14,0-14,a,All sexes,17000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,0_14,0-14,f,Female,8400
afg,Afghanistan,AFG,Eastern Mediterranean,2024,0_14,0-14,m,Male,8700
afg,Afghanistan,AFG,Eastern Mediterranean,2024,0_4,0-4,a,All sexes,8300
afg,Afghanistan,AFG,Eastern Mediterranean,2024,0_4,0-4,f,Female,3800
afg,Afghanistan,AFG,Eastern Mediterranean,2024,0_4,0-4,m,Male,4500
afg,Afghanistan,AFG,Eastern Mediterranean,2024,10_14,10-14,a,All sexes,4900
afg,Afghanistan,AFG,Eastern Mediterranean,2024,10_14,10-14,f,Female,2500
afg,Afghanistan,AFG,Eastern Mediterranean,2024,10_14,10-14,m,Male,2400
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15_19,15-19,a,All sexes,6900
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15_19,15-19,f,Female,3700
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15_19,15-19,m,Male,3200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15_24,15-24,a,All sexes,16000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15_24,15-24,f,Female,8500
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15_24,15-24,m,Male,7200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15plus,15+,a,All sexes,70000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15plus,15+,f,Female,37000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,15plus,15+,m,Male,33000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,20_24,20-24,a,All sexes,8800
afg,Afghanistan,AFG,Eastern Mediterranean,2024,20_24,20-24,f,Female,4700
afg,Afghanistan,AFG,Eastern Mediterranean,2024,20_24,20-24,m,Male,4000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,25_34,25-34,a,All sexes,14000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,25_34,25-34,f,Female,7700
afg,Afghanistan,AFG,Eastern Mediterranean,2024,25_34,25-34,m,Male,6600
afg,Afghanistan,AFG,Eastern Mediterranean,2024,35_44,35-44,a,All sexes,11000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,35_44,35-44,f,Female,5700
afg,Afghanistan,AFG,Eastern Mediterranean,2024,35_44,35-44,m,Male,5200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,45_54,45-54,a,All sexes,9600
afg,Afghanistan,AFG,Eastern Mediterranean,2024,45_54,45-54,f,Female,5200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,45_54,45-54,m,Male,4400
afg,Afghanistan,AFG,Eastern Mediterranean,2024,55_64,55-64,a,All sexes,9200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,55_64,55-64,f,Female,5000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,55_64,55-64,m,Male,4200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,5_14,5-14,a,All sexes,8800
afg,Afghanistan,AFG,Eastern Mediterranean,2024,5_14,5-14,f,Female,4600
afg,Afghanistan,AFG,Eastern Mediterranean,2024,5_14,5-14,m,Male,4200
afg,Afghanistan,AFG,Eastern Mediterranean,2024,5_9,5-9,a,All sexes,3900
afg,Afghanistan,AFG,Eastern Mediterranean,2024,5_9,5-9,f,Female,2000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,5_9,5-9,m,Male,1900
afg,Afghanistan,AFG,Eastern Mediterranean,2024,65plus,65+,a,All sexes,9900
afg,Afghanistan,AFG,Eastern Mediterranean,2024,65plus,65+,f,Female,4600
afg,Afghanistan,AFG,Eastern Mediterranean,2024,65plus,65+,m,Male,5300
afg,Afghanistan,AFG,Eastern Mediterranean,2024,all,All ages,a,All sexes,87000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,all,All ages,f,Female,45000
afg,Afghanistan,AFG,Eastern Mediterranean,2024,all,All ages,m,Male,42000
alb,Albania,ALB,Europe,2024,0_14,0-14,a,All sexes,19
alb,Albania,ALB,Europe,2024,0_14,0-14,f,Female,4
alb,Albania,ALB,Europe,2024,0_14,0-14,m,Male,16
alb,Albania,ALB,Europe,2024,0_4,0-4,a,All sexes,12
alb,Albania,ALB,Europe,2024,0_4,0-4,f,Female,4
alb,Albania,ALB,Europe,2024,0_4,0-4,m,Male,9
alb,Albania,ALB,Europe,2024,10_14,10-14,a,All sexes,4
alb,Albania,ALB,Europe,2024,10_14,10-14,f,Female,0
alb,Albania,ALB,Europe,2024,10_14,10-14,m,Male,4
alb,Albania,ALB,Europe,2024,15_19,15-19,a,All sexes,25
alb,Albania,ALB,Europe,2024,15_19,15-19,f,Female,12
alb,Albania,ALB,Europe,2024,15_19,15-19,m,Male,12
alb,Albania,ALB,Europe,2024,15_24,15-24,a,All sexes,46
alb,Albania,ALB,Europe,2024,15_24,15-24,f,Female,23
alb,Albania,ALB,Europe,2024,15_24,15-24,m,Male,23
alb,Albania,ALB,Europe,2024,15plus,15+,a,All sexes,390
alb,Albania,ALB,Europe,2024,15plus,15+,f,Female,130
alb,Albania,ALB,Europe,2024,15plus,15+,m,Male,260
alb,Albania,ALB,Europe,2024,20_24,20-24,a,All sexes,21
alb,Albania,ALB,Europe,2024,20_24,20-24,f,Female,11
alb,Albania,ALB,Europe,2024,20_24,20-24,m,Male,11
alb,Albania,ALB,Europe,2024,25_34,25-34,a,All sexes,60
alb,Albania,ALB,Europe,2024,25_34,25-34,f,Female,23
alb,Albania,ALB,Europe,2024,25_34,25-34,m,Male,37
alb,Albania,ALB,Europe,2024,35_44,35-44,a,All sexes,65
alb,Albania,ALB,Europe,2024,35_44,35-44,f,Female,18
alb,Albania,ALB,Europe,2024,35_44,35-44,m,Male,48
alb,Albania,ALB,Europe,2024,45_54,45-54,a,All sexes,69
alb,Albania,ALB,Europe,2024,45_54,45-54,f,Female,12
alb,Albania,ALB,Europe,2024,45_54,45-54,m,Male,56
alb,Albania,ALB,Europe,2024,55_64,55-64,a,All sexes,48
alb,Albania,ALB,Europe,2024,55_64,55-64,f,Female,5
alb,Albania,ALB,Europe,2024,55_64,55-64,m,Male,42
alb,Albania,ALB,Europe,2024,5_14,5-14,a,All sexes,7
alb,Albania,ALB,Europe,2024,5_14,5-14,f,Female,0
alb,Albania,ALB,Europe,2024,5_14,5-14,m,Male,7
alb,Albania,ALB,Europe,2024,5_9,5-9,a,All sexes,4
alb,Albania,ALB,Europe,2024,5_9,5-9,f,Female,0
alb,Albania,ALB,Europe,2024,5_9,5-9,m,Male,4
alb,Albania,ALB,Europe,2024,65plus,65+,a,All sexes,100
alb,Albania,ALB,Europe,2024,65plus,65+,f,Female,48
alb,Albania,ALB,Europe,2024,65plus,65+,m,Male,55
alb,Albania,ALB,Europe,2024,all,All ages,a,All sexes,410
